pH;pH_is;potential_temp;practical_salinity;sigma0;sigma4;depth;d13C;DIC;Alk;AOU;Omegaca;Omegapca;Omegaca_dic;Omegacap_dic;phosphate;nitrate;silicate;station;lat;long
7.347;7.574;1.932765475;34.563;27.49750388;45.48865836;1802.357;-0.484;2384.93;2414.04;299.9805627;1.313528035;0.710501385;1.501600435;0.83179927;3.180107058;45.33544661;169.8;5;49.83333333;149.65
7.3275;7.558;2.086336854;34.532;27.46072;45.43902059;1602.032;-0.635;2386.62;-999;306.1547166;-999;-999;-999;-999;3.163964383;45.97799624;167.9;5;49.83333333;149.65
7.3138;7.549;2.259788379;34.495;27.41727045;45.3808799;1397.544;-0.607;2385.97;2404.2;309.0891869;1.21563077;0.715391185;1.397121847;0.842172134;3.154278778;45.76381303;161.3;5;49.83333333;149.65
7.3039;7.543;2.482303622;34.451;27.36378997;45.30769141;1196.444;-0.607;2378.09;-999;309.5971959;-999;-999;-999;-999;3.173649988;45.54962982;153.7;5;49.83333333;149.65
7.2966;7.54;2.749081688;34.397;27.29794443;45.21788267;1000.064;-0.629;2373.6;2397.15;308.6747377;1.165688748;0.751393042;1.440984142;0.961783831;3.322162602;46.54915148;147;5;49.83333333;149.65
7.2854;7.531;3.0988753;34.318;27.20390566;45.0923565;797.962;-0.608;2362.53;2371.29;305.6178631;1.123798531;0.75875819;1.296955294;0.895923821;3.225306549;45.97799624;135.3;5;49.83333333;149.65
7.276;7.5214;3.275177754;34.267;27.14713865;45.02022825;700.284;-0.665;2369.06;2360.78;304.4374023;1.095152063;0.755188499;1.157391994;0.805001696;-999;-999;-999;5;49.83333333;149.65
7.2793;7.5249;3.451068821;34.229;27.10038188;44.95717742;649.265;-0.642;-999;2358.51;299.3078661;1.101446134;0.770663234;-999;-999;3.083251006;43.76476972;121.5;5;49.83333333;149.65
7.2691;7.5152;3.464702818;34.208;27.08244448;44.93923458;599.969;-0.681;2366.77;2351.21;301.8534755;1.073376036;0.757136754;1.099645656;0.778519318;3.25113483;43.97895293;121.2608131;5;49.83333333;149.65
7.271;7.5174;3.623671535;34.167;27.03461383;44.87706428;550.527;-999;-999;2347.6;295.7325404;1.075565675;0.768978191;-999;-999;3.193021199;43.26500889;115.4;5;49.83333333;149.65
7.2639;7.5114;3.643407869;34.143;27.01369061;44.85564164;499.083;-999;2356.82;2338.92;297.0045214;1.054609278;0.761329277;1.076447207;0.779467676;-999;-999;-999;5;49.83333333;149.65
